wellName,datasetName,DEPT,DT,FACIES_2010_New,GR,NPHI,PHIE,RHOB,VCL
,,m,us/ft,unitless,gAPI,V/V,V/V,g/cm3,V/V
15_1-SD-6X,LQC,1230.08,-9999,-9999,26.552448273,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1230.23,-9999,-9999,25.576637268,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1230.38,-9999,-9999,23.522750854,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1230.53,-9999,-9999,23.121862411,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1230.68,-9999,-9999,22.366052628,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1230.83,-9999,-9999,22.940649033,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1230.98,-9999,-9999,22.404779434,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1231.13,-9999,-9999,21.672639847,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1231.28,-9999,-9999,20.376399994,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1231.43,-9999,-9999,20.696668625,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1231.58,-9999,-9999,22.168542862,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1231.73,-9999,-9999,24.264678955,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1231.88,-9999,-9999,25.768899918,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1232.03,-9999,-9999,25.434082031,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1232.18,-9999,-9999,23.703327179,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1232.33,-9999,-9999,22.60568428,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1232.48,-9999,-9999,24.33360672,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1232.63,-9999,-9999,27.925689697,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1232.78,-9999,-9999,29.969070435,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1232.93,-9999,-9999,30.123086929,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1233.08,-9999,-9999,28.169483185,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1233.23,-9999,-9999,26.935724258,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1233.38,-9999,-9999,25.103622437,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1233.53,-9999,-9999,27.102493286,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1233.68,-9999,-9999,25.592737198,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1233.83,-9999,-9999,25.017572403,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1233.98,-9999,-9999,23.419176102,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1234.13,-9999,-9999,23.141626358,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1234.28,-9999,-9999,22.904344559,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1234.43,-9999,-9999,22.293003082,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1234.58,-9999,-9999,21.589189529,-9999,-9999,-9999,-9999
15_1-SD-6X,LQC,1234.73,-9999,-9999,21.349330902,-9999,-9999,-9999,-9999
