wellName,datasetName,DEPTH,DepoFacies,DT,Facies,GR,NPHI,PHIE,RHOB,VCL
,,M,unitless,US/F,unitless,GAPI,frac,V/V,g/cm3,V/V
SVNE-2P,SVNE-2P,2797.5,0,87.723,1,92.5494003295898,0.2729,0.0037,2.4762,0.775
SVNE-2P,SVNE-2P,2797.65,0,87.9203,1,91.560302734375,0.2643,0.0066,2.4766,0.7447
SVNE-2P,SVNE-2P,2797.8,0,87.8239,1,90.7248992919922,0.2589,0.0034,2.4828,0.7379
SVNE-2P,SVNE-2P,2797.95,0,87.4559,1,90.3412017822266,0.2627,0.0001,2.4893,0.765
SVNE-2P,SVNE-2P,2798.1,0,86.8612,-9999,89.5908966064453,0.2766,0.0001,2.4897,0.816
SVNE-2P,SVNE-2P,2798.25,0,86.3079,1,88.4485015869141,0.2874,0.0001,2.4843,0.844
SVNE-2P,SVNE-2P,2798.4,0,86.1791,1,87.5314025878906,0.2789,0.0012,2.4766,0.7975
SVNE-2P,SVNE-2P,2798.55,0,86.5831,1,86.6992034912109,0.2673,0.0123,2.4684,0.7388
SVNE-2P,SVNE-2P,2798.7,0,87.2761,1,86.5503997802734,0.2648,0.0167,2.4643,0.7213
SVNE-2P,SVNE-2P,2798.85,0,87.768,1,88.056396484375,0.269,0.0134,2.4663,0.7406
SVNE-2P,SVNE-2P,2799,0,87.7999,1,90.2624969482422,0.2748,0.0095,2.4684,0.7659
SVNE-2P,SVNE-2P,2799.15,0,87.3775,1,90.4197006225586,0.278,0.0118,2.4643,0.769
SVNE-2P,SVNE-2P,2799.3,0,86.8299,1,89.374397277832,0.2724,0.0194,2.4576,0.7351
SVNE-2P,SVNE-2P,2799.45,0,86.5409,1,89.7730026245117,0.2696,0.0207,2.4574,0.7246
SVNE-2P,SVNE-2P,2799.6,0,86.6134,1,90.9140014648438,0.2705,0.0155,2.4632,0.7397
SVNE-2P,SVNE-2P,2799.75,0,86.8874,1,91.0010986328125,0.2678,0.0144,2.4657,0.735
SVNE-2P,SVNE-2P,2799.9,0,87.0285,1,90.4222030639648,0.2686,0.0175,2.4616,0.7295
SVNE-2P,SVNE-2P,2800.05,0,87.0494,1,90.7787017822266,0.2865,0.0156,2.4559,0.7826
SVNE-2P,SVNE-2P,2800.2,0,87.1155,1,91.5068969726562,0.3089,0.0042,2.455,0.8617
SVNE-2P,SVNE-2P,2800.35,0,87.1654,1,91.6089019775391,0.314,0.0024,2.4573,0.8848
SVNE-2P,SVNE-2P,2800.5,0,87.383,1,91.6501998901367,0.3168,0.0001,2.4665,0.9138
SVNE-2P,SVNE-2P,2800.65,0,87.4574,-9999,91.6949996948242,0.3237,0.0001,2.4744,0.9549
SVNE-2P,SVNE-2P,2800.8,0,87.3998,-9999,91.1389007568359,0.3198,0.0001,2.4761,0.9443
SVNE-2P,SVNE-2P,2800.95,0,87.1439,1,89.9671020507812,0.2882,0.0001,2.4775,0.833
SVNE-2P,SVNE-2P,2801.1,0,86.6063,1,89.2451019287109,0.2599,0.0009,2.4853,0.7466
SVNE-2P,SVNE-2P,2801.25,0,86.0066,1,87.6746978759766,0.2493,0.0001,2.497,0.7323
SVNE-2P,SVNE-2P,2801.4,0,85.5528,1,85.2188034057617,0.2466,0.0001,2.4996,0.7279
SVNE-2P,SVNE-2P,2801.55,0,85.3072,1,84.0427017211914,0.245,0.0039,2.4885,0.6993
SVNE-2P,SVNE-2P,2801.7,0,85.1741,1,83.6149978637695,0.2501,0.0178,2.4697,0.6793
SVNE-2P,SVNE-2P,2801.85,0,85.0878,1,82.7748031616211,0.2566,0.0284,2.4546,0.6718
SVNE-2P,SVNE-2P,2802,0,85.2195,1,82.1746978759766,0.251,0.0363,2.4483,0.6387
SVNE-2P,SVNE-2P,2802.15,0,85.3734,1,81.3594970703125,0.2408,0.0398,2.4492,0.6037
SVNE-2P,SVNE-2P,2802.3,0,85.3652,1,79.9012985229492,0.2404,0.0373,2.4522,0.6084
SVNE-2P,SVNE-2P,2802.45,0,85.1118,1,79.3460006713867,0.2494,0.0309,2.4551,0.6468
SVNE-2P,SVNE-2P,2802.6,0,84.597,1,79.0947036743164,0.2579,0.0252,2.4576,0.6827
SVNE-2P,SVNE-2P,2802.75,0,83.8922,1,78.2011032104492,0.2621,0.0196,2.462,0.7069
SVNE-2P,SVNE-2P,2802.9,0,82.9749,1,77.7995986938477,0.2599,0.0145,2.4691,0.7135
SVNE-2P,SVNE-2P,2803.05,0,82.5721,1,78.1093978881836,0.2528,0.0128,2.4743,0.6984
SVNE-2P,SVNE-2P,2803.2,0,82.8202,1,78.7360000610352,0.2514,0.0143,2.4732,0.6911
SVNE-2P,SVNE-2P,2803.35,0,83.2425,1,81.685302734375,0.2627,0.0144,2.468,0.7213
SVNE-2P,SVNE-2P,2803.5,0,83.8508,1,86.8861999511719,0.2766,0.0117,2.465,0.7654
SVNE-2P,SVNE-2P,2803.65,0,84.8407,1,90.9021987915039,0.2807,0.0084,2.4671,0.7845
SVNE-2P,SVNE-2P,2803.8,0,86.0344,1,92.8496017456055,0.2826,0.004,2.4716,0.8006
SVNE-2P,SVNE-2P,2803.95,0,86.9022,1,93.4613037109375,0.2913,0.0001,2.4745,0.838
SVNE-2P,SVNE-2P,2804.1,0,87.3651,-9999,93.1776962280273,0.3044,0.0001,2.4766,0.8897
