wellName,datasetName,DEPT,DT,FACIES_2010_New,GR,NPHI,PHIE,RHOB,VCL
,,m,us/ft,unitless,gAPI,V/V,V/V,g/cm3,V/V
15_1-SD-3X,LQC,1788.625,114.88700104,-9999,146.21659851,0.5109999776,0,2.4049999714,1
15_1-SD-3X,LQC,1788.75,114.35900116,-9999,131.12980652,0.5249999762,0,2.3919999599,1
15_1-SD-3X,LQC,1788.875,115.75700378,-9999,139.04660034,0.4379999936,0,2.375,1
15_1-SD-3X,LQC,1789,117.16000366,-9999,134.51550293,0.5220000148,0,2.3619999886,1
15_1-SD-3X,LQC,1789.125,120.7990036,-9999,116.47820282,0.5389999747,0,2.3540000916,1
15_1-SD-3X,LQC,1789.25,121.83599854,-9999,113.00839996,0.5329999924,0,2.3545000553,1
15_1-SD-3X,LQC,1789.375,122.8730011,-9999,109.53869629,0.52700001,0,2.3550000191,1
15_1-SD-3X,LQC,1789.5,123.58499908,-9999,131.7828064,0.5440000296,0,2.361000061,1
15_1-SD-3X,LQC,1789.625,124.18299866,-9999,135.3296051,0.5180000067,0,2.3729999065,1
15_1-SD-3X,LQC,1789.75,123.19000244,-9999,135.7183075,0.4149999917,0,2.3440001011,1
15_1-SD-3X,LQC,1789.875,121.6760025,-9999,136.68609619,0.4620000124,0,2.3675000668,1
15_1-SD-3X,LQC,1790,120.16200256,-9999,137.65420532,0.5090000033,0,2.3910000324,1
15_1-SD-3X,LQC,1790.125,118.29299927,-9999,143.33639526,0.5279999971,0,2.3900001049,1
15_1-SD-3X,LQC,1790.25,112.17500305,-9999,141.44560242,0.5,0,2.364000082,1
15_1-SD-3X,LQC,1790.375,110.46099854,-9999,129.48950195,0.3630000055,0,2.2660000324,0.9757000208
15_1-SD-3X,LQC,1790.5,105.01899719,-9999,104.09780121,0.3339999914,0.2057999969,2.2179999352,0.3346000016
15_1-SD-3X,LQC,1790.625,103.10199738,-9999,114.68959808,0.33950001,0.1635999978,2.1944999695,0.5325999856
15_1-SD-3X,LQC,1790.75,101.18499756,-9999,125.27950287,0.3449999988,0.0034,2.1710000038,0.8244000077
15_1-SD-3X,LQC,1790.875,100.96099854,-9999,107.2696991,0.3440000117,0.1861000061,2.2449998856,0.3860000074
15_1-SD-3X,LQC,1791,100.30400085,-9999,103.75409698,0.2840000093,0.1882999986,2.2219998837,0.329400003
15_1-SD-3X,LQC,1791.125,101.37599945,-9999,124.34670258,0.3400000036,0.0065000001,2.1289999485,0.793900013
15_1-SD-3X,LQC,1791.25,101.98500061,-9999,111.66829681,0.3560000062,0.1861999929,2.1459999084,0.4681000113
15_1-SD-3X,LQC,1791.375,101.91400146,-9999,119.87030029,0.3630000055,0.059700001,2.2170000076,0.6611999869
15_1-SD-3X,LQC,1791.5,101.84300232,-9999,128.07699585,0.3700000048,0.0002,2.2880001068,0.9222999811
15_1-SD-3X,LQC,1791.625,104.17199707,-9999,142.34759521,0.3680000007,0,2.4230000973,1
15_1-SD-3X,LQC,1791.75,104.0759964,-9999,140.45689392,0.4219999909,0,2.4330000877,1
15_1-SD-3X,LQC,1791.875,104.21199799,-9999,147.10049438,0.3829999864,0,2.4230000973,1
15_1-SD-3X,LQC,1792,104.44049835,-9999,145.05810547,0.4210000038,0,2.4200000763,1
15_1-SD-3X,LQC,1792.125,104.66899872,-9999,143.01480103,0.4589999914,0,2.4170000553,1
15_1-SD-3X,LQC,1792.25,106.32900238,-9999,128.01550293,0.4469999969,0,2.4110000134,1
15_1-SD-3X,LQC,1792.375,108.9940033,-9999,139.97819519,0.4219999909,0,2.367000103,1
15_1-SD-3X,LQC,1792.5,112.51200104,-9999,137.42619324,0.3819999993,0,2.3989999294,1
15_1-SD-3X,LQC,1792.625,114.89199829,-9999,128.5625,0.4399999976,0.0001,2.3289999962,0.9402999878
15_1-SD-3X,LQC,1792.75,115.69000244,-9999,133.00700378,0.4850000143,0,2.3369998932,1
15_1-SD-3X,LQC,1792.875,116.48799896,-9999,137.45620728,0.5299999714,0,2.3450000286,1
15_1-SD-3X,LQC,1793,117.73300171,-9999,140.42649841,0.4639999866,0,2.3989999294,1
15_1-SD-3X,LQC,1793.125,116.12599945,-9999,142.25509644,0.4550000131,0,2.3650000095,1
15_1-SD-3X,LQC,1793.25,113.56700134,-9999,152.66870117,0.4219999909,0,2.4379999638,1
15_1-SD-3X,LQC,1793.375,111.99199677,-9999,153.42320251,0.4129999876,0,2.4275000095,1
15_1-SD-3X,LQC,1793.5,110.41699982,-9999,154.17790222,0.4040000141,0,2.4170000553,1
15_1-SD-3X,LQC,1793.625,109.19200134,-9999,160.5428009,0.3829999864,0,2.4179999828,1
15_1-SD-3X,LQC,1793.75,108.11499786,-9999,136.30540466,0.3810000122,0,2.4249999523,1
15_1-SD-3X,LQC,1793.875,108.73999786,-9999,136.11759949,0.4939999878,0,2.4300000668,1
15_1-SD-3X,LQC,1794,111.42299652,-9999,155.37750244,0.4449999928,0,2.4110000134,1
15_1-SD-3X,LQC,1794.125,111.5664978,-9999,148.4420929,0.4264999926,0,2.4230000973,1
15_1-SD-3X,LQC,1794.25,111.70999908,-9999,141.49809265,0.4079999924,0,2.4349999428,1
15_1-SD-3X,LQC,1794.375,113.33499908,-9999,152.51139832,0.4359999895,0,2.3039999008,1.3215999603
15_1-SD-3X,LQC,1794.5,113.39099884,-9999,139.13499451,0.4449999928,0,2.3350000381,1
