wellName,datasetName,DEPTH,DT,Electro_Facies,GR,NPHI,PHIE,RHOB,VCL
,,M,us/ft,unitless,gAPI,V/V,V/V,g/cm3,V/V
SVNE-3XP_raw,SVNE-3XP,2414.4,76.602,-9999,105.6923,0.2556,0.0212,2.5333,0.5801
SVNE-3XP_raw,SVNE-3XP,2414.55,77.3449,-9999,109.4207,0.2561,0.0044,2.5272,0.646
SVNE-3XP_raw,SVNE-3XP,2414.7,78.3327,-9999,113.2029,0.248,0.0001,2.4967,0.7196
SVNE-3XP_raw,SVNE-3XP,2414.85,79.2722,6,107.0277,0.2333,0.0493,2.424,0.603
SVNE-3XP_raw,SVNE-3XP,2415,80.8768,3,94.906,0.2202,0.1298,2.3192,0.4212
SVNE-3XP_raw,SVNE-3XP,2415.15,83.1403,2,84.19,0.2096,0.192,2.2255,0.301
SVNE-3XP_raw,SVNE-3XP,2415.3,85.7832,-9999,75.9326,0.2013,0.226,2.1734,0.2283
SVNE-3XP_raw,SVNE-3XP,2415.45,87.9849,-9999,68.2865,0.1961,0.2385,2.1632,0.1733
SVNE-3XP_raw,SVNE-3XP,2415.6,89.1033,-9999,62.8313,0.1959,0.2381,2.1776,0.1401
SVNE-3XP_raw,SVNE-3XP,2415.75,89.1881,-9999,61.844,0.198,0.231,2.1982,0.1346
SVNE-3XP_raw,SVNE-3XP,2415.9,88.7374,-9999,62.6365,0.1942,0.2219,2.2147,0.139
SVNE-3XP_raw,SVNE-3XP,2416.05,88.1317,-9999,61.4334,0.1846,0.2158,2.2246,0.1323
SVNE-3XP_raw,SVNE-3XP,2416.2,87.465,-9999,58.1509,0.1783,0.2149,2.2295,0.1151
SVNE-3XP_raw,SVNE-3XP,2416.35,86.6432,7,55.6932,0.1783,0.2137,2.2382,0.103
SVNE-3XP_raw,SVNE-3XP,2416.5,85.9182,-9999,54.8082,0.1809,0.2079,2.2567,0.0989
SVNE-3XP_raw,SVNE-3XP,2416.65,85.4998,-9999,54.9188,0.1839,0.2027,2.2722,0.0994
SVNE-3XP_raw,SVNE-3XP,2416.8,85.3844,-9999,55.8139,0.1882,0.2045,2.2691,0.1036
SVNE-3XP_raw,SVNE-3XP,2416.95,85.542,-9999,57.3782,0.1952,0.2092,2.2594,0.1112
